Strategy,Accuracy,Precision,Recall,F1,AUC,Training_Time
MFCC,0.6350299573683604,0.6337426136131584,0.6551720209614946,0.6435622334373182,0.6801092867223844,31.155472564697266
MFCC_DELTA,0.6403416292199562,0.6317003302006612,0.6882091592617908,0.6583783104670899,0.6896535652642524,72.45352764129639
MFCC_DELTA_DELTA,0.623677843069478,0.6208431750167568,0.65062656641604,0.6340190909017561,0.6719170457237954,113.55779452323914
